available;categoryId;cpa;currencyId;delivery;description;discount;id;manufacturer_warranty;market_category;model;modified_time;name;oldprice;param;pickup;picture;price;real_category_name;sales_notes;store;type;typePrefix;url;vendor;vendorCode,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2098-0303;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/vladini/img_0657.jpg;145;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-zhenskaya-2098-0303-0303;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1961-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/1/11025c1.jpg;200;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1961;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1956-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/6/110211.jpg;110;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1956;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1957-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/7/11022w1.jpg;120;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1957;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1954-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/4/110121.jpg;155;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1954;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1955-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/5/110131.jpg;250;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1955;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2291-04;true;Женщинам > Одежда > Рубашки;0;0;БЛУЗКА ЖЕНСКАЯ;0;0;true;https://kanceptkrama.by/image/catalog/photos/Totallook/1/201.jpg;95;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1996-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/6/11014c1.jpg;130;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1996;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1958-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/8/11022b1.jpg;120;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1958;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1959-12;true;Женщинам > Одежда > Рубашки;0;0;Блузка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/9/110181.jpg;160;Блузка;Оплата после примерки.;true;vendor.model;Блузка;https://kanceptkrama.by/woman/bluzy/bluzka-genskaya-1959;kanceptkrama;0,,,
